#,contractor,phone,city,market,classes,role,email,letter_template,status
581,BLASTING & COATINGS ENTERPRISES INC,(661) 510 8025,CANYON COUNTRY,LA,B|C33|D12,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
582,TRIPLE A FLOORING INC,(562) 696 0808,WHITTIER,LA,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
583,C Z FINISHES INC,(818) 399 0601,SYLMAR,LA,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
584,J B PAINTING,(818) 917 8788,RESEDA,LA,B|C-9|C33|D12,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
585,TORREON FLOORING,(562) 313 6037,WHITTIER,LA,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
586,ROD'S GENERAL BUILDER'S INC,(408) 917 9735,QUARTZ HILL,LA,B|C54,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
587,CORNERSTONE PAINTING COMPANY,(310) 516 1812,HARBOR CITY,LA,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
588,ULTRA GREEN PAINTING UGP INC,(626) 261 2965,LA PUENTE,LA,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
589,ANDY'S PAINTING CO,(909) 618 8371,POMONA,LA,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
590,QUALITY WOOD FINISHING,(818) 935 7988,SOUTH PASADENA,LA,B|C33,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
591,ALTAY FLOOR COVERING SOLUTIONS INC,(650) 430 3781,WALNUT,LA,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
592,SYNERGY FINISHES INC,(818) 793 9072,VAN NUYS,LA,C33|D06,partner,НАЙТИ,ca_supply_partner,DRAFTED
593,ESTEBAN'S PAINTING INC,(323) 405 2688,LOS ANGELES,LA,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
594,EVERGREEN CONSTRUCTION SERVICES,(310) 953 5577,REDONDO BEACH,LA,B|C33,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
595,MANROSE Q & FLOORING INC,(562) 980 2401,LAKEWOOD,LA,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
596,JOSEPH MATTINGLY,(310) 626 5952,LONG BEACH,LA,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
597,JOSE ROBERTO LOPEZ,(310) 678 3269,INGLEWOOD,LA,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
598,JAMES RO & ASSOCIATES INC,(714) 401 5809,WALNUT,LA,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
599,BRIO PAINTING AND WALLCOVERING,(562) 650 9816,NORWALK,LA,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
600,GMS FLOORING INC,(661) 974 9137,PANORAMA CITY,LA,C15|C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
